obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Blink,Derived,totPwr,class
1393,6.0,350484,15256,4657,18748,5368,5056,2902,496,57,60,0,0.21,402967,2
1394,7.0,541642,37228,77316,120020,13644,11723,10593,8515,50,75,0,0.19,820681,2
1395,7.9,159300,87989,34287,146079,15622,9616,12091,5125,34,84,0,0.22,470109,2
1396,8.9,153943,130145,52235,72466,7854,20727,9840,4874,20,78,0,0.28,452084,2
1397,9.9,5454,22142,190656,49036,26271,14682,7208,2641,7,88,0,0.62,318090,2
1398,10.9,1677,11894,65328,76855,4343,24047,8333,2915,26,88,49,1.31,195392,2
1399,11.9,32953,132531,80226,58968,22069,13038,16823,1854,29,84,0,1.45,358462,2
1400,12.9,57768,56897,47263,37424,7867,12642,10048,3747,30,87,0,1.49,233656,2
1401,13.9,28800,16076,21296,157376,8992,20009,2827,5006,41,87,0,1.55,260382,2
1402,14.9,15167,14777,133635,43148,36524,5439,9463,1897,14,84,0,1.41,260050,2
1403,16.0,8629,17283,51069,162763,4476,16941,4503,3808,23,97,0,0.98,269472,2
1404,16.9,60650,66440,40660,96092,16490,12685,6703,3477,17,100,0,0.9,303197,2
1405,17.9,55882,22496,14793,180961,3724,11114,4101,4268,4,100,0,0.88,297339,2
1406,18.9,1553801,56456,19287,89883,7009,6730,6049,4028,10,96,0,0.75,1743243,2
1407,19.9,560169,130339,31859,81226,11576,10354,10144,3233,1,83,0,0.57,838900,2
1408,20.9,51934,29743,128590,25816,18741,11450,6088,4694,1,87,0,0.42,277056,2
1409,21.9,15688,40383,48448,124573,4376,35673,10128,3256,21,81,57,0.55,282525,2
1410,22.9,203842,36454,17218,11745,3872,5138,1539,1662,34,75,0,0.48,281470,2
1411,24.0,60110,16208,3112,195313,16838,10988,5758,3228,35,88,0,0.57,311555,2
1412,24.9,309858,83260,27051,162968,10113,16482,7949,2810,35,84,0,0.58,620491,2
1413,25.9,96154,40932,120575,60164,18445,10366,17238,8109,14,87,0,0.59,371983,2
1414,26.9,5427,13567,142145,22300,17269,15967,9036,3171,17,97,0,0.75,228882,2
1415,27.9,19564,12863,11474,67608,7682,23535,9579,5838,47,91,50,0.96,158143,2
1416,28.9,422567,87035,21143,19055,9182,7448,2822,1084,44,81,0,0.88,570336,2
1417,29.9,20595,30546,28710,75355,40554,20561,10934,5952,63,77,0,1.08,233207,2
1418,31.0,22324,24052,21001,21722,18629,26561,17904,2080,84,64,0,1.18,154273,2
1419,31.8,28172,89712,38814,17214,13144,10889,10153,10757,63,54,0,1.01,218855,2
1420,32.9,168441,70446,94886,95191,10668,13053,7871,6091,60,66,0,0.84,466647,2
1421,33.9,34054,40371,45929,50164,19896,26464,5974,1608,63,66,0,0.95,224460,2
1422,34.9,10297,31033,84706,4841,3677,21546,5731,3221,53,74,0,0.95,165052,2
1423,35.8,12565,14135,31988,60040,13170,22019,4606,3338,70,81,0,0.94,161861,2
1424,36.6,137231,140605,45339,29972,17432,16879,9579,3398,80,70,52,0.78,400435,2
1425,37.9,27675,23477,10264,4653,10341,4255,1905,594,74,64,42,0.78,83164,2
1426,38.9,65841,33453,34930,23912,11131,28733,8989,4361,83,61,0,0.78,211350,2
1427,40.0,47998,4403,31272,6457,13993,13385,2547,2188,90,57,0,0.6,122243,2
1428,41.0,5665,10317,104715,41814,6293,14016,8423,2004,91,74,0,0.74,193247,2
1429,41.8,123164,51295,88021,41778,11884,26195,8769,5293,94,81,0,0.75,356399,2
1430,42.9,49514,28402,43868,27621,13710,17969,5400,3647,84,83,0,0.79,190131,2
1431,44.0,11020,20005,14473,42874,11350,18169,11383,2275,78,83,0,0.96,131549,2
1432,45.0,5052,14845,107913,14442,12771,14140,4799,4990,80,78,0,1.27,178952,2
1433,46.0,103934,52561,17464,87416,19516,21435,5686,1537,80,77,0,0.97,309549,2
1434,46.9,80688,17065,46151,9816,35635,24939,8888,1845,90,74,0,0.98,225027,2
1435,47.9,35438,39753,59209,42651,24330,18513,8216,2927,81,74,0,1.01,231037,2
1436,49.0,252900,64197,15342,40979,16759,38341,8702,2965,100,61,0,0.77,440185,2
1437,49.9,72697,67760,14506,31518,15965,13070,6727,2506,100,56,42,0.48,224749,2
1438,50.9,110735,24069,15070,10342,4314,4975,4536,885,78,56,0,0.47,174926,2
1439,51.9,588130,29686,35543,32683,7464,21281,17399,2971,88,56,0,0.42,735157,2
1440,53.0,62357,32068,18217,116977,13651,34690,10268,3466,80,66,0,0.39,291694,2
1441,54.0,10429,31840,14256,100391,17639,14507,7564,3564,78,75,0,0.62,200190,2
1442,54.8,75968,13454,16875,61680,10450,28481,3117,4580,97,80,0,0.61,214605,2
1443,55.9,212102,39392,7244,35069,15570,11226,5486,3043,88,74,0,0.61,329132,2
1444,57.0,368832,27820,16236,42973,10200,13841,8616,4699,84,69,0,0.61,493217,2
1445,58.0,185064,19957,632,8071,4125,2203,1404,1936,80,57,0,0.52,223392,2
1446,59.0,88861,21997,9136,40342,13196,14607,4549,1564,74,54,0,0.31,194252,2
1447,59.9,196094,82836,46322,9864,5409,21650,4925,5785,75,54,0,0.28,372885,2
1448,61.0,216100,97875,25553,23924,21028,16702,8217,1940,69,47,0,0.29,411339,3
1449,61.0,35420,21093,107433,9815,8457,16916,6761,2245,0,0,0,0.37,208140,3
1450,2.1,812326,365823,81195,5779,30638,23054,15565,21130,0,0,0,0.3,1355510,3
1451,2.5,761279,640455,159006,89381,77771,55297,31797,37858,0,0,36,0.36,1852844,3
1452,2.8,0,0,0,0,0,0,0,0,0,0,46,0.0,0,3
1453,3.2,1709971,90753,19804,137116,18508,14665,20697,17534,0,0,35,0.31,2029048,3
1454,3.5,0,0,0,0,0,0,0,0,0,0,57,0.0,0,3
1455,5.1,599446,16099,16519,25044,3526,2025,2265,4815,30,51,47,0.27,669739,2
1456,6.1,1389862,626769,115219,36753,40454,14928,36662,32690,13,44,61,0.28,2293337,3
1457,6.5,2039866,127862,62078,32678,6518,28723,17912,7197,37,47,45,0.25,2322834,3
1458,6.7,0,0,0,0,0,0,0,0,0,0,45,0.0,0,3
1459,6.9,0,0,0,0,0,0,0,0,0,0,46,0.0,0,3
1460,7.4,3122080,395920,16188,53335,118553,50432,65921,12578,53,34,35,0.21,3835007,3
1461,7.6,0,0,0,0,0,0,0,0,0,0,64,0.0,0,3
1462,9.0,1522291,983761,21514,123590,236850,90255,40510,56840,74,7,44,0.24,3075611,3
1463,9.8,885505,346091,45688,47525,16945,63440,31839,11261,100,4,42,0.27,1448294,3
1464,11.0,2058625,171381,198202,59871,41062,30341,44980,19767,100,11,58,0.25,2624229,3
1465,12.0,446949,32565,14573,12952,10547,4647,3878,2212,93,24,0,0.26,528323,3
1466,13.0,124782,44260,3476,8453,5680,10052,9885,1641,100,30,0,0.29,208229,3
1467,14.0,147850,37333,7038,3313,5720,5897,7978,2474,100,30,43,0.29,217603,3
1468,15.0,358875,112372,12141,893,22781,5085,3559,3504,87,8,53,0.27,519210,3
1469,16.0,2429475,386433,82618,42105,51178,24155,20571,9190,70,1,52,0.25,3045725,3
1470,17.0,411106,67765,12502,5352,10378,9222,5366,1453,64,1,47,0.26,523144,3
1471,18.0,334968,59672,10557,14205,4551,4806,4512,3459,48,7,0,0.22,436730,3
1472,19.0,556235,9297,8916,12220,19666,13621,10743,4672,78,21,0,0.19,635370,3
1473,20.0,265654,82662,3775,2700,6359,6368,2097,3445,80,10,0,0.2,373060,3
1474,21.0,643724,23687,14690,18514,7467,41700,12720,11266,87,17,47,0.22,773768,3
1475,22.0,600388,144443,4124,5608,4611,5709,3684,1288,74,3,0,0.21,769855,3
1476,23.0,215466,71426,32685,42305,21723,15548,12305,6938,51,7,40,0.25,418396,3
1477,24.0,427197,154351,22207,4147,18489,23458,13799,15304,54,13,0,0.28,678952,3
1478,25.0,12200,26547,43993,18397,19604,34232,6561,5966,48,17,0,0.52,167500,3
1479,26.0,66230,26627,12615,48667,29650,11837,18661,8136,63,43,0,0.65,222423,3
1480,27.0,15348,35173,11930,63378,29956,31662,8277,7774,74,44,0,0.91,203498,3
1481,28.0,276393,12627,3945,3438,3476,8952,5059,1433,88,51,0,0.87,315323,2
1482,29.0,12191,12614,16415,38841,19143,20010,25170,14113,83,53,0,1.3,158497,2
1483,30.0,21567,7290,13325,16445,12525,30713,8178,5782,100,51,40,1.24,115825,2
1484,30.9,2283504,188101,41486,32782,48800,33722,17754,10105,93,40,55,1.09,2656254,3
1485,32.0,77132,74415,3186,8872,7934,7016,8515,4209,74,34,68,0.91,191279,3
1486,33.0,92298,12082,2539,2890,1842,2047,1222,123,63,21,0,0.9,115043,3
1487,34.0,579514,98510,18503,21060,33305,16190,28614,9670,41,13,0,0.47,805366,3
1488,35.0,211817,165485,43547,47482,39304,36531,20347,5953,43,16,0,0.34,570466,3
1489,36.0,763728,51046,35523,68750,27212,19145,23466,6170,48,37,0,0.36,995040,3
1490,37.0,1601538,95455,33067,11105,12964,23952,15500,2310,51,35,56,0.28,1795891,3
1491,38.0,352257,381350,99794,88462,68174,16839,13584,6685,37,40,0,0.31,1027145,3
1492,38.6,548567,24423,10877,23472,16019,26361,7723,9917,50,41,36,0.29,667359,3
1493,40.1,140378,45567,21749,7538,14161,3827,2113,2608,38,35,50,0.25,237941,3
1494,40.8,9559,52726,47726,40585,25047,10814,11774,4469,29,44,41,0.56,202700,3
1495,42.0,109952,26377,6573,795,4543,4361,1345,1415,44,40,41,0.57,155361,3
1496,43.0,17514,16718,15916,25433,27955,11438,7833,5904,37,43,0,0.76,128711,3
1497,43.9,164499,193779,33686,54496,22833,20510,6732,6927,41,41,0,0.79,503462,3
1498,45.0,30691,20140,27119,72210,6378,29927,20329,4276,54,47,0,0.97,211070,3
1499,46.0,99841,48594,44739,29131,10505,20450,10984,2715,57,61,59,0.71,266959,2
1500,47.0,2080238,1009626,291852,102670,69593,40904,63192,6204,37,54,0,0.71,3664279,2
1501,48.0,5006,62034,10892,45278,16983,30002,20443,11591,51,57,0,1.17,202229,2
1502,49.0,324124,10186,11960,4101,11020,3747,8185,3334,44,48,0,1.14,376657,3
1503,50.0,297722,279780,33323,29689,70167,18327,22035,5560,30,30,47,0.99,756603,3
1504,51.0,68761,40773,6329,32295,12918,21737,11234,5924,57,35,0,1.03,199971,3
1505,52.0,45057,69492,19889,58060,34511,9143,24925,3211,41,38,52,1.18,264288,3
1506,53.0,25728,21592,3254,1490,3812,1841,870,230,34,26,0,0.53,58817,3
1507,53.5,242249,57088,3482,11757,14681,4843,6740,1464,37,26,53,0.53,342304,3
1508,54.2,1298854,221053,11112,30337,74372,35543,26775,14995,27,14,48,0.5,1713041,3
1509,55.2,1315784,163067,68729,24040,43513,19231,12679,15846,29,10,52,0.4,1662889,3
1510,56.3,147311,29380,4028,1534,3022,1611,711,691,23,8,45,0.22,188288,3
1511,57.7,2056307,238035,55533,67665,51213,38057,22331,17220,27,14,65,0.21,2546361,3
1512,59.0,254754,15476,44881,13095,3191,6432,5565,2304,24,41,47,0.21,345698,3
1513,60.0,265136,51490,21387,15644,19756,40606,19442,4501,44,40,44,0.24,437962,3
1514,60.0,309881,212308,16711,35629,44535,47378,14786,5277,0,0,0,0.27,686505,3
1515,1.9,8564,41194,15487,62997,7096,10257,1430,690,0,0,0,0.69,147715,3
1516,2.9,182420,38903,3455,9770,1650,5260,968,703,0,0,0,0.41,243129,3
1517,4.1,93617,12748,14506,4532,1225,4896,2228,377,0,0,0,0.35,134129,3
1518,5.1,27669,79931,36069,104007,10540,8394,4218,963,30,53,60,0.41,271791,2
1519,6.1,902327,58932,13427,36533,8995,5828,3357,980,27,56,0,0.34,1030379,2
1520,7.0,62649,49997,11106,99606,22094,14378,5864,1317,35,69,60,0.29,267011,2
1521,8.0,2543649,383031,113919,55875,16520,26181,5891,4209,27,66,0,0.29,3149275,2
1522,9.1,9026,2677,69285,10147,6188,4826,6912,2411,34,77,0,0.52,111472,2
1523,10.1,20146,28884,30770,42840,17023,7679,4507,4065,40,80,0,0.59,155914,2
1524,11.0,107288,38703,19648,17771,19413,22386,4150,929,56,63,63,0.63,230288,2
1525,12.0,444763,45682,22608,17206,16237,17586,4138,2639,83,63,0,0.57,570859,2
1526,13.0,70506,43332,123554,8443,5130,8790,3773,2733,81,54,0,0.64,266261,2
1527,14.1,6426,32119,157515,4945,10906,7613,7029,2417,70,63,0,0.69,228970,2
1528,15.1,6533,9063,51407,29278,4710,8945,2957,1358,56,84,0,0.74,114251,2
1529,16.0,47509,12433,118873,6465,1262,11105,1855,898,38,100,0,0.74,200400,2
1530,17.1,71162,42751,43120,20972,9579,15694,3913,1680,56,97,0,0.79,208871,2
1531,18.1,342629,38099,23480,5991,12661,20206,2512,2142,88,77,0,0.74,447720,2
1532,19.1,204763,25278,9188,39877,7225,9647,5374,2814,90,64,0,0.46,304166,2
1533,20.1,181030,46834,18927,63042,7563,4044,6012,2412,75,50,0,0.29,329864,0
1534,21.1,99884,13752,108940,10289,5585,10098,3186,1885,61,66,0,0.29,253619,2
1535,22.1,128429,28072,41332,17707,11072,19620,1524,2448,60,75,0,0.26,250204,2
1536,23.1,101218,61196,33805,41983,7185,7055,5332,851,44,75,71,0.29,258625,2
1537,24.0,262270,64399,12769,11001,5392,7899,2651,678,63,57,0,0.27,367059,2
1538,24.9,94894,28077,19274,46804,7694,14778,4071,2231,78,47,0,0.28,217823,3
1539,25.9,24348,34639,16160,48540,7185,13693,11674,7230,69,48,0,0.46,163469,3
1540,27.1,32856,42020,84185,14007,3969,19034,11071,10572,88,51,0,0.64,217714,2
1541,28.1,73294,16480,85135,17717,16702,11693,11454,8214,88,75,0,0.73,240689,2
1542,29.0,109722,27457,32335,65151,5247,14751,9033,6571,81,78,65,0.8,270267,2
1543,30.1,449136,235488,10863,48238,14037,9704,4680,7190,56,60,0,0.78,779336,2
1544,31.0,285681,94639,130156,6109,10009,14662,14026,5450,43,57,0,0.6,560732,2
1545,32.0,374577,69204,8027,5783,17043,7571,1678,2304,41,27,58,0.4,486187,3
1546,33.0,2046149,148955,18460,31723,14752,33338,26454,23342,50,7,50,0.3,2343173,3
1547,34.1,242508,32045,33276,14059,13302,4464,2739,3577,57,21,0,0.24,345970,3
1548,35.1,430826,171993,73680,11992,11283,15124,16405,12732,57,10,0,0.26,744035,3
1549,35.9,482468,36892,37212,17342,12317,36939,7433,9054,75,26,33,0.24,639657,3
1550,36.9,407935,92974,51159,12347,19724,8249,15201,3979,53,35,39,0.27,611568,3
1551,37.6,2115974,210342,137111,46083,34910,34478,9306,8776,56,29,61,0.26,2596980,3
1552,39.1,267654,159342,26858,4220,5880,4173,9785,1789,41,21,52,0.26,479701,3
1553,39.8,1646060,233200,37412,16738,25154,19068,15998,28266,14,8,57,0.24,2021896,3
1554,40.8,276787,81276,50184,16718,21500,9243,10289,1407,16,11,59,0.24,467404,3
1555,42.1,245189,10435,6366,3867,7726,4080,1734,817,27,7,67,0.21,280214,3
1556,43.1,619114,109706,95636,43175,27744,23015,4823,1483,47,24,64,0.21,924696,3
1557,44.0,155322,26248,42142,82884,4235,5706,5028,5058,38,56,65,0.23,326623,2
1558,45.0,238277,119117,34640,20278,9158,20439,18062,4693,47,50,62,0.26,464664,1
1559,45.9,1877274,292140,118604,19494,7902,15550,10628,1869,23,50,0,0.23,2343461,1
1560,47.1,93667,16442,9226,6338,3738,5710,1957,3301,30,47,0,0.27,140379,3
1561,48.1,24618,30625,24690,43412,6938,12652,7901,1956,50,35,0,0.41,152792,3
1562,49.1,79669,51113,40477,72232,7012,9649,2617,2109,41,51,0,0.41,264878,2
1563,49.9,220188,43483,13122,32387,2592,17468,4284,2699,64,56,0,0.38,336223,2
1564,51.1,144012,32340,29141,66738,12607,12675,7146,2495,56,64,0,0.43,307154,2
1565,52.1,197820,129271,27121,109689,52007,43105,4970,3912,60,56,89,0.42,567895,2
1566,53.1,529705,110722,10809,45809,2782,8929,1027,1016,56,43,0,0.27,710799,3
1567,54.0,85564,60536,16076,51036,3628,17594,2997,1664,51,47,0,0.26,239095,3
1568,54.9,119443,50309,118869,95918,3799,9180,2414,1449,35,54,0,0.26,401381,2
1569,56.1,3781,41976,116128,15182,1554,18103,3685,2250,29,67,0,0.54,202659,2
1570,57.1,4258,24565,81832,58990,11165,9387,2584,2632,30,90,0,0.8,195413,2
1571,58.0,122441,65139,16056,76463,4603,12990,3789,1134,23,91,65,0.83,302615,2
1572,58.9,243160,277073,55280,9802,11554,17520,2073,1898,30,61,0,0.81,618360,2
1573,60.0,30878,15692,29648,4937,5018,11765,2106,2864,43,53,0,0.87,102908,2
1574,61.1,6679,16193,89427,8091,4587,8389,3209,2751,48,53,0,0.78,139326,2
1575,61.1,48802,15656,37950,24803,4530,27320,3306,1593,0,0,0,0.56,163960,3
1576,3.0,816357,133030,92254,28362,26142,78771,72067,8808,0,0,0,0.4,1255791,3
1577,4.0,522460,37064,13415,8566,5742,12175,13310,743,0,0,0,0.3,613475,3
1578,5.0,2027382,75977,16375,8447,16843,8784,8536,3332,0,0,49,0.23,2165676,3
1579,6.0,691018,82532,35495,38120,26622,43942,33859,8922,50,50,74,0.26,960510,3
1580,7.0,1470734,135823,20268,9641,9965,3842,6187,5225,30,34,0,0.23,1661685,3
1581,8.0,114344,13427,7287,9631,2063,5658,4164,3511,41,56,0,0.23,160085,2
1582,9.0,1576840,208910,15525,17705,31155,13216,7036,9439,34,38,0,0.22,1879826,3
1583,9.9,1522233,250161,12782,29686,34259,28691,14722,17188,23,10,87,0.23,1909722,3
1584,11.0,1336432,898266,4721,82320,15691,42968,57490,11232,29,8,0,0.23,2449120,3
1585,11.9,178427,62428,9764,12426,13840,16715,33233,8694,30,1,0,0.33,335527,3
1586,13.0,1121575,141517,59591,21552,9670,9919,14874,5226,27,14,0,0.3,1383924,3
1587,14.0,782126,252566,22111,20018,14569,23052,7702,6587,24,24,0,0.31,1128731,3
1588,14.9,116440,30643,31942,20759,21416,15355,20120,16117,44,63,0,0.42,272792,2
1589,16.0,2217486,158119,25990,11324,9195,21863,7206,6896,37,61,0,0.39,2458079,2
1590,17.0,688385,42331,3840,18550,32573,21006,15096,8256,63,47,34,0.31,830037,3
1591,17.7,2038044,166958,45381,31010,33932,38756,70903,9705,74,61,41,0.32,2434689,2
1592,18.2,272689,159683,78918,20935,19721,22861,28127,19428,63,54,45,0.4,622362,2
1593,18.8,0,0,0,0,0,0,0,0,0,0,45,0.0,0,3
1594,19.8,782860,175079,60314,16807,20095,19208,9018,4990,57,64,40,0.28,1088371,2
1595,20.9,590314,128118,10918,14238,8405,13276,17408,7192,40,57,72,0.31,789869,2
1596,22.0,659489,99082,25106,7788,29028,37485,36952,25823,47,50,0,0.35,920753,1
1597,23.0,999707,529044,21588,74246,33588,49823,46372,12583,44,27,47,0.36,1766951,3
1598,24.0,1311253,345277,49255,16292,33037,52785,54768,11115,51,13,0,0.31,1873782,3
1599,25.0,2015382,98399,41593,26463,19311,27222,25353,15814,61,34,0,0.31,2269537,3
1600,26.0,196721,167017,13727,9602,4634,14829,9964,4044,44,24,56,0.33,420538,3
1601,27.0,1478906,707655,35495,52585,24968,36912,45894,13799,38,20,0,0.29,2396214,3
1602,28.0,1647274,188466,12338,20267,18900,42859,9080,17034,43,14,39,0.26,1956218,3
1603,28.9,237059,27919,3103,1068,1555,1418,2089,1048,26,1,0,0.24,275259,3
1604,30.0,696756,18996,1764,16215,4724,12223,9549,2585,43,16,0,0.23,762812,3
1605,31.0,734434,18110,11663,1714,2627,11197,8002,5659,69,40,0,0.2,793406,3
1606,31.9,894997,87175,16597,25645,11401,31092,21476,13379,74,57,35,0.2,1101762,2
1607,32.9,849802,106150,8996,10179,20374,7196,5423,6233,77,57,0,0.19,1014353,2
1608,35.0,717031,250189,63607,13036,38809,29055,25945,4249,61,44,0,0.22,1141921,3
1609,36.2,1509011,224557,60162,24303,48478,34580,30920,10217,40,54,75,0.23,1942228,2
1610,37.9,2062992,608753,48385,54155,31079,51999,39777,15880,43,56,0,0.23,2913020,2
1611,39.0,783880,45176,24940,2487,3431,8455,7392,4157,29,29,0,0.21,879918,3
1612,40.0,266346,27671,1603,6921,2163,5467,9189,2861,34,27,67,0.24,322221,3
1613,41.0,1046261,460793,31808,36544,22587,26788,58589,10249,27,26,33,0.25,1693619,3
1614,42.0,436962,459941,18993,30833,23210,14642,21448,5051,23,26,34,0.27,1011080,3
1615,42.6,1451551,461369,32013,4335,16435,41787,29720,8647,16,1,53,0.27,2045857,3
1616,44.0,693141,130242,99156,8324,16734,14105,17900,3647,4,14,43,0.28,983249,3
1617,45.0,1090407,20581,30090,8033,9106,20798,31513,6831,30,48,47,0.27,1217359,3
1618,45.9,274565,165565,14203,5347,15569,12321,7020,1943,43,54,0,0.26,496533,2
1619,46.9,753601,48323,21035,5222,4717,9588,4901,6248,48,84,0,0.22,853635,2
1620,48.0,660106,202496,63197,5933,36271,31025,13731,11980,57,66,0,0.24,1024739,2
1621,48.9,599811,2890,5336,2447,4078,6756,6082,2943,63,61,64,0.22,630343,2
1622,49.9,679742,117833,21950,11618,7158,4524,3922,600,51,78,0,0.19,847347,2
1623,50.9,518928,172807,29387,10361,6488,22690,38157,3427,50,66,53,0.22,802245,2
1624,52.0,176200,59310,29090,25671,11658,43812,9145,6696,64,77,0,0.27,361582,2
1625,52.9,259235,16460,13037,8384,4228,57744,52848,3059,64,63,66,0.32,414995,2
1626,53.9,2539869,190860,215816,9632,46715,32032,21306,5557,75,81,0,0.32,3061787,2
1627,55.0,173071,190837,6229,29397,12835,34270,23781,4510,74,77,0,0.4,474930,2
1628,55.9,321641,145549,11809,10411,9121,48221,38341,11417,63,51,32,0.44,596510,2
1629,57.0,85017,61128,147024,14098,12958,25234,26639,10262,37,69,40,0.53,382360,2
1630,57.9,133894,14301,3941,3962,4005,4059,10509,1368,44,51,0,0.5,176039,2
1631,58.9,495158,260091,56684,15729,66701,38351,14682,6581,41,51,64,0.53,953977,2
1632,59.9,388885,74094,8847,29202,6688,7457,3680,1113,27,69,0,0.45,519966,2
1633,60.9,40442,28345,12820,24600,12208,41675,18587,10219,44,53,0,0.58,188896,2
1634,60.9,295562,123059,43290,11577,20585,25945,39765,14361,0,0,0,0.52,574144,3
1635,2.0,596781,220113,48069,20332,17741,19079,14970,5939,0,0,0,0.26,943024,3
1636,3.0,621296,20250,2262,1276,4069,938,877,237,0,0,0,0.16,651205,3
1637,4.0,197924,204108,2880,9824,17038,23500,6907,3360,54,30,0,0.21,465541,3
1638,5.0,703477,74728,16636,12713,16475,12388,4340,2865,74,47,0,0.19,843622,3
1639,6.0,151365,90548,12217,15466,19849,8641,14066,3901,80,57,0,0.25,316053,2
1640,7.0,367662,59546,20959,17216,18361,16019,9427,6186,100,78,0,0.25,515376,2
1641,8.0,445371,42445,4230,20407,24774,17789,9628,2436,100,100,54,0.29,567080,2
1642,9.0,764977,780924,30927,42928,21167,6874,11628,2407,75,84,0,0.26,1661832,2
1643,9.9,151361,58246,54676,21830,7756,14274,6209,4350,80,96,0,0.31,318702,2
1644,11.0,422009,75180,26209,27065,10770,13719,3299,3133,67,94,0,0.25,581384,2
1645,12.0,98240,24328,11280,10846,6540,6438,1827,2514,61,96,0,0.25,162013,2
1646,12.9,1784464,140268,36627,12960,13847,15235,9450,876,90,100,0,0.22,2013727,2
1647,14.0,482154,30329,31916,23823,56933,19901,2547,3616,100,100,0,0.22,651219,2
1648,15.0,53814,10978,21719,11928,15617,12067,5770,11955,100,100,0,0.3,143848,2
1649,16.0,447748,12238,2147,5839,8072,3256,2611,1018,100,100,0,0.29,482929,2
1650,17.0,971533,41503,84900,31672,7908,27171,7593,2775,100,100,0,0.26,1175055,2
1651,18.0,1568246,45004,23827,11935,20656,9504,5746,4587,100,100,0,0.27,1689505,2
1652,18.9,1691239,264389,6648,21432,14964,33550,8760,3504,100,80,0,0.26,2044486,2
1653,20.0,746734,73003,172292,23411,28153,15794,8602,5719,93,91,49,0.14,1073708,2
1654,21.0,1262140,123339,54022,34663,184098,46367,32855,18580,96,74,0,0.17,1756064,2
1655,22.0,89848,63168,13864,6617,30154,4660,6337,3817,87,66,0,0.24,218465,2
1656,22.9,974304,1029785,40982,11519,20360,28285,8718,3895,66,60,44,0.24,2117848,2
1657,24.0,14431,70490,3305,11813,13658,11616,10261,2662,78,37,0,0.48,138236,3
1658,25.0,230141,25968,30954,25293,21016,17663,8668,5551,77,48,0,0.51,365254,3
1659,26.0,342348,87381,22054,10200,21599,14236,8238,3934,84,50,62,0.5,509990,0
1660,27.0,734488,207264,5147,13848,34228,22222,7825,6216,100,53,0,0.45,1031238,2
1661,28.0,340694,23416,24166,20896,25778,4129,3799,5193,93,69,0,0.46,448071,2
1662,29.1,456511,32589,45368,38322,5623,8506,13197,3720,80,77,0,0.26,603836,2
1663,30.0,169563,100136,6774,7879,21677,12034,7534,1577,78,67,58,0.25,327174,2
1664,30.9,167978,19113,2020,1506,1809,1723,381,381,75,75,54,0.22,194911,2
1665,31.9,1698564,110311,46541,84112,16983,12738,10225,2382,74,75,0,0.2,1981856,2
1666,33.0,220446,65824,26669,21214,12717,20559,13751,6914,84,61,0,0.24,388094,2
1667,33.9,46965,48437,10914,16685,11968,8625,5473,5324,87,74,0,0.32,154391,2
1668,35.0,1192598,149531,22778,20961,4536,7288,4843,3749,78,80,0,0.29,1406284,2
1669,35.9,27194,28445,28459,21027,18146,15829,14085,6590,94,78,0,0.51,159775,2
1670,37.0,538157,82530,107010,43662,11731,15449,7353,2992,83,88,0,0.53,808884,2
1671,38.0,350086,85276,28221,7850,17923,8063,11368,5199,77,87,0,0.5,513986,2
1672,39.0,326277,90647,6425,40007,33127,33698,5651,3174,97,88,0,0.41,539006,2
1673,40.0,775366,173915,35707,36145,9398,15115,3040,2150,83,80,43,0.41,1050836,2
1674,41.0,539768,89633,32287,46330,4701,17529,4330,2178,88,74,0,0.2,736756,2
1675,42.0,1030839,198637,27718,78975,52574,11714,9047,4041,81,75,0,0.19,1413545,2
1676,43.1,149975,39103,4805,4498,3650,2347,1748,1027,63,70,0,0.17,207153,2
1677,43.9,1200967,74128,10660,27718,11057,15176,10618,17317,74,74,53,0.17,1367641,2
1678,45.0,805096,37793,17679,6688,2696,2937,2612,2422,63,69,0,0.17,877923,2
1679,46.0,190772,34205,15688,3154,7048,8293,5389,2182,81,69,0,0.19,266731,2
1680,47.0,342816,50958,31765,6849,20517,26866,10191,3240,100,77,0,0.21,493202,2
1681,48.0,870581,94921,31633,33110,14186,15172,5193,3704,94,78,0,0.2,1068500,2
1682,49.0,417895,35414,13954,37474,21088,14173,2951,4136,100,81,0,0.2,547085,2
1683,50.0,1237652,108376,20575,4641,8103,2818,4203,2855,81,75,0,0.2,1389223,2
1684,51.0,526916,17135,9016,9208,6764,14255,4168,2566,81,77,0,0.17,590028,2
1685,51.9,438150,86519,15115,17054,6697,15942,5623,2933,84,70,0,0.16,588033,2
1686,52.9,331511,21805,13002,7685,4862,6812,9042,4524,83,69,0,0.19,399243,2
1687,54.0,486565,31668,84607,15233,7557,17499,10630,3612,100,91,0,0.2,657371,2
1688,55.0,447997,74426,111894,14131,76532,19195,4971,3819,87,96,0,0.21,752965,2
1689,56.0,40948,38904,31630,29783,34116,9309,10275,4733,83,100,0,0.35,199698,2
1690,57.0,98506,49377,109596,12574,13455,19269,10317,5574,80,100,60,0.42,318668,2
1691,58.0,1376138,191201,47111,14970,64155,11498,7643,1955,67,93,0,0.39,1714671,2
1692,59.1,1376775,122418,48276,16727,12116,14116,13788,8093,64,87,0,0.38,1612309,2
1693,60.0,431280,136967,16117,13360,22690,13143,8101,5042,63,74,0,0.39,646700,2
1694,60.0,178274,35186,37924,18195,8291,24454,8018,1559,0,0,0,0.28,311901,3
